Ticker,Return,Volume Change Rate,Original Ticker
스톤브릿지벤처스,2.842,37951.669,330730.KS
대륙제관,2.84,3720.89,004780.KS
지씨셀,2.821,98.524,144510.KS
티에스이,2.811,90.364,131290.KS
아모센스,2.807,1103.45,357580.KS
큐알티,2.805,12.73,405100.KS
비보존 제약,2.805,-10.641,082800.KS
이랜시스,2.787,328.839,264850.KS
에이비온,2.781,57.074,203400.KS
SBI인베스트먼트,2.77,437.674,019550.KS
큐로셀,2.769,158.433,372320.KS
서울바이오시스,2.75,33.709,092190.KS
티앤알바이오팹,2.747,82.249,246710.KS
코오롱생명과학,2.729,228.826,102940.KS
제이엘케이,2.701,-26.214,322510.KS
아이퀘스트,2.661,-21.813,262840.KS
티쓰리,2.64,-13.738,204610.KS
도이치모터스,2.609,108.786,067990.KS
와이씨켐,2.555,24.358,112290.KS
에스티팜,2.545,20.157,237690.KS
코미코,2.532,-24.093,183300.KS
비아이매트릭스,2.507,185.138,413640.KS
배럴,2.474,55.925,267790.KS
엠아이텍,2.46,93.023,179290.KS
라온피플,2.442,-89.781,300120.KS
엑시콘,2.408,20.615,092870.KS
아이센스,2.4,25.281,099190.KS
와이어블,2.35,14.91,065530.KS
바이오에프디엔씨,2.342,52.56,251120.KS
핑거스토리,2.333,1168.325,417180.KS
비에이치아이,2.305,47.096,083650.KS
빅텐츠,2.299,-34.579,210120.KS
대모,2.292,2.564,317850.KS
유신,2.273,45.939,054930.KS
알티캐스트,2.267,-54.483,085810.KS
덕산하이메탈,2.213,5.715,077360.KS
이루온,2.212,64.984,065440.KS
제이아이테크,2.207,-35.969,417500.KS
셀루메드,2.192,25.487,049180.KS
아이스크림에듀,2.183,679.016,289010.KS
오스코텍,2.182,-21.168,039200.KS
옵트론텍,2.165,1720.948,082210.KS
디엔에프,2.116,34.36,092070.KS
빅텍,2.103,-3.783,065450.KS
에이프릴바이오,2.101,172.267,397030.KS
와이랩,2.083,3144.856,432430.KS
중앙에너비스,2.075,31.956,000440.KS
코난테크놀로지,2.068,98.026,402030.KS
디티앤씨,2.067,-9.524,187220.KS
스페코,2.051,8.752,013810.KS
씨씨에스,2.041,229.55,066790.KS
SOOP,2.015,-20.467,067160.KS
대신밸런스제14호스팩,2.009,-49.828,442310.KS
진성티이씨,2.0,46.309,036890.KS
알피바이오,1.994,53.559,314140.KS
피에이치에이,1.98,124.387,043370.KS
신테카바이오,1.971,-21.145,226330.KS
디에이피,1.969,-38.861,066900.KS
유티아이,1.969,6.92,179900.KS
한솔인티큐브,1.966,29.139,070590.KS
녹십자웰빙,1.964,25.602,234690.KS
에프엔씨엔터,1.923,103.476,173940.KS
한화플러스제3호스팩,1.905,-22.983,430460.KS
삼영에스앤씨,1.887,134.94,361670.KS
아주IB투자,1.885,30.724,027360.KS
국영지앤엠,1.87,108.99,006050.KS
와이엠,1.852,1554.507,007530.KS
KB제26호스팩,1.848,36.73,458320.KS
피엔에이치테크,1.82,-56.639,239890.KS
솔트룩스,1.813,-42.667,304100.KS
에이디테크놀로지,1.804,4.095,200710.KS
모코엠시스,1.804,65.702,333050.KS
NHN벅스,1.796,513.583,104200.KS
키움제6호스팩,1.786,-20.236,413600.KS
DB금융스팩11호,1.77,41.161,456440.KS
옴니시스템,1.759,99.901,057540.KS
나이벡,1.748,41.239,138610.KS
한스바이오메드,1.745,-5.61,042520.KS
메지온,1.742,13.317,140410.KS
오하임앤컴퍼니,1.72,-36.21,309930.KS
샤페론,1.71,28.129,378800.KS
강스템바이오텍,1.697,53.706,217730.KS
아이쓰리시스템,1.69,-6.233,214430.KS
씨티씨바이오,1.688,22.641,060590.KS
아시아종묘,1.677,55.295,154030.KS
HB솔루션,1.676,-16.513,297890.KS
오로스테크놀로지,1.675,66.829,322310.KS
솔브레인,1.647,28.499,357780.KS
3S,1.643,42.07,060310.KS
에이치시티,1.629,105.518,072990.KS
팬엔터테인먼트,1.606,-14.272,068050.KS
나무가,1.592,-24.243,190510.KS
엔투텍,1.591,-51.058,227950.KS
원일특강,1.581,38.613,012620.KS
비엘팜텍,1.579,-50.431,065170.KS
티움바이오,1.575,-27.872,321550.KS
아셈스,1.572,18.203,136410.KS
네오셈,1.561,36.215,253590.KS
동양이엔피,1.551,-0.667,079960.KS
이상네트웍스,1.55,-52.68,080010.KS
파커스,1.523,-41.583,065690.KS
탑코미디어,1.522,23.746,134580.KS
큐라클,1.52,122.324,365270.KS
아이디스,1.519,-62.883,143160.KS
펩트론,1.503,-59.962,087010.KS
썸에이지,1.498,165.815,208640.KS
푸드웰,1.493,-1.34,005670.KS
두산테스나,1.488,-24.906,131970.KS
와이씨,1.479,120.414,232140.KS
유진테크,1.478,-8.76,084370.KS
남화산업,1.449,-94.175,111710.KS
이노시스,1.443,9.182,056090.KS
아비코전자,1.436,-44.939,036010.KS
국보디자인,1.435,-13.175,066620.KS
동국제약,1.435,45.961,086450.KS
대성하이텍,1.423,-1.137,129920.KS
휴맥스,1.417,-14.279,115160.KS
CBI,1.412,19.139,013720.KS
한빛소프트,1.399,18.907,047080.KS
동구바이오제약,1.394,64.819,006620.KS
아세아텍,1.392,356.672,050860.KS
제이브이엠,1.389,-28.184,054950.KS
오텍,1.385,-26.456,067170.KS
대동금속,1.374,41.406,020400.KS
모베이스전자,1.362,134.357,012860.KS
디에스케이,1.354,37.994,109740.KS
폰드그룹,1.348,-76.779,472850.KS
신도기연,1.336,34.485,290520.KS
퓨릿,1.322,269.313,445180.KS
인피니트헬스케어,1.302,-19.673,071200.KS
인산가,1.288,-84.819,277410.KS
코위버,1.282,-52.305,056360.KS
에코캡,1.28,29.975,128540.KS
영우디에스피,1.274,-34.25,143540.KS
라이프시맨틱스,1.25,-26.505,347700.KS
카이노스메드,1.25,38.148,284620.KS
서한,1.242,20.652,011370.KS
바이오솔루션,1.241,29.687,086820.KS
소프트캠프,1.236,-60.779,258790.KS
신라섬유,1.23,-15.313,001000.KS
아진엑스텍,1.214,34.782,059120.KS
대동스틸,1.208,135.126,048470.KS
덕신이피씨,1.19,284.794,090410.KS
엔에이치스팩24호,1.19,60.968,437780.KS
레이저쎌,1.182,-26.793,412350.KS
파인텍,1.175,145.792,131760.KS
네오크레마,1.173,123.987,311390.KS
휴엠앤씨,1.173,57.833,263920.KS
대신밸런스제13호스팩,1.167,-44.823,438220.KS
메타바이오메드,1.163,23.845,059210.KS
삼표시멘트,1.163,-5.599,038500.KS
양지사,1.151,111.945,030960.KS
엠브레인,1.147,-66.043,169330.KS
CS,1.146,-36.266,065770.KS
엘앤씨바이오,1.146,-11.829,290650.KS
린드먼아시아,1.136,100.111,277070.KS
AP시스템,1.121,-16.246,265520.KS
피에스케이,1.114,-3.89,319660.KS
부스타,1.112,-44.338,008470.KS
티씨케이,1.112,-41.824,064760.KS
웹케시,1.105,-47.477,053580.KS
오픈엣지테크놀로지,1.098,-12.345,394280.KS
레뷰코퍼레이션,1.092,7.984,443250.KS
SV인베스트먼트,1.09,727.694,289080.KS
골프존뉴딘홀딩스,1.079,18.499,121440.KS
글로본,1.071,-83.492,019660.KS
동진쎄미켐,1.053,2.301,005290.KS
오에스피,1.049,116.149,368970.KS
에스와이,1.048,81.663,109610.KS
디오,1.047,42.188,039840.KS
쇼박스,1.039,-1.797,086980.KS
원익홀딩스,1.037,-15.384,030530.KS
LB인베스트먼트,1.026,128.474,309960.KS
서희건설,1.015,-45.173,035890.KS
골프존,1.014,-50.031,215000.KS
안트로젠,1.01,103.21,065660.KS
시큐센,1.0,5.02,232830.KS
씨앤투스,0.998,22.99,352700.KS
토탈소프트,0.992,-61.56,045340.KS
나이스디앤비,0.99,-75.162,130580.KS
에코마케팅,0.989,-51.079,230360.KS
액션스퀘어,0.987,15.448,205500.KS
글로벌텍스프리,0.986,-31.64,204620.KS
에스디시스템,0.981,-51.474,121890.KS
풍국주정,0.981,175.519,023900.KS
하나머티리얼즈,0.979,4.196,166090.KS
팜스빌,0.96,-62.346,318010.KS
성우전자,0.957,-36.286,081580.KS
세보엠이씨,0.952,-28.276,011560.KS
피앤씨테크,0.944,-49.591,237750.KS
스피어파워,0.935,-61.106,203690.KS
디앤디파마텍,0.93,-62.036,347850.KS
한양디지텍,0.923,-30.43,078350.KS
에이직랜드,0.912,-60.698,445090.KS
티에프이,0.907,2.892,425420.KS
파루,0.903,90.5,043200.KS
디젠스,0.903,-7.114,113810.KS
금화피에스시,0.898,5.289,036190.KS
액트로,0.894,-42.396,290740.KS
그리티,0.888,61.367,204020.KS
쎌바이오텍,0.886,-8.216,049960.KS
지노믹트리,0.874,5.722,228760.KS
레몬,0.873,-58.502,294140.KS
특수건설,0.871,389.387,026150.KS
유비쿼스,0.868,-8.734,264450.KS
디앤씨미디어,0.862,625.325,263720.KS
예선테크,0.861,111.727,250930.KS
알에스오토메이션,0.849,519.354,140670.KS
제노포커스,0.825,-29.982,187420.KS
원풍,0.825,-32.495,008370.KS
에스텍,0.823,-33.101,069510.KS
포인트모바일,0.822,-51.0,318020.KS
SFA반도체,0.821,-16.257,036540.KS
엑사이엔씨,0.812,29.143,054940.KS
하이텍팜,0.81,93.691,106190.KS
씨유테크,0.795,-57.189,376290.KS
진영,0.791,-42.823,285800.KS
대아티아이,0.789,-21.661,045390.KS
한국전자금융,0.783,-17.031,063570.KS
정다운,0.781,18.12,208140.KS
드래곤플라이,0.781,615.409,030350.KS
에스에이엠티,0.77,52.371,031330.KS
쏘닉스,0.769,-9.737,088280.KS
솔본,0.761,-0.728,035610.KS
테스,0.759,19.772,095610.KS
케이엠,0.753,-1.288,083550.KS
한창산업,0.75,-31.551,079170.KS
램테크놀러지,0.739,-20.843,171010.KS
서울전자통신,0.727,31.076,027040.KS
마크로젠,0.714,-11.787,038290.KS
유안타제9호스팩,0.713,-46.687,430700.KS
SM Life Design,0.713,-32.205,063440.KS
폴라리스우노,0.707,64.059,114630.KS
씨이랩,0.704,-12.339,189330.KS
한일단조,0.701,-36.006,024740.KS
칩스앤미디어,0.698,35.576,094360.KS
대성미생물,0.698,-31.49,036480.KS
신영스팩8호,0.693,7.959,430220.KS
메가엠디,0.691,61.634,133750.KS
인탑스,0.685,-61.309,049070.KS
메가스터디교육,0.681,1.583,215200.KS
삼일,0.68,-36.603,032280.KS
케이피엠테크,0.671,10.435,042040.KS
로보스타,0.668,0.466,090360.KS
사피엔반도체,0.666,-17.102,452430.KS
패션플랫폼,0.657,204.053,225590.KS
빅솔론,0.651,-45.117,093190.KS
보로노이,0.649,-13.442,310210.KS
에스바이오메딕스,0.647,-48.22,304360.KS
기산텔레콤,0.646,-50.775,035460.KS
메디톡스,0.645,7.59,086900.KS
KD,0.644,-57.952,044180.KS
포시에스,0.644,-30.918,189690.KS
엠케이전자,0.644,-20.01,033160.KS
카페24,0.643,-39.342,042000.KS
하이젠알앤엠,0.643,155.425,160190.KS
셀바이오휴먼텍,0.638,-16.495,318160.KS
코텍,0.63,-21.412,052330.KS
SGC E&C,0.629,-12.213,016250.KS
코츠테크놀로지,0.624,-62.492,448710.KS
엣지파운드리,0.613,37.197,105550.KS
원익IPS,0.605,562.346,240810.KS
KX하이텍,0.605,-22.131,052900.KS
내츄럴엔도텍,0.602,275.271,168330.KS
한네트,0.599,-81.053,052600.KS
한국기업평가,0.598,79.304,034950.KS
에쎈테크,0.598,-61.654,043340.KS
와이엠씨,0.592,3.531,155650.KS
에브리봇,0.59,0.656,270660.KS
하이퍼코퍼레이션,0.578,-36.576,065650.KS
뷰웍스,0.573,-26.471,100120.KS
HRS,0.573,-63.572,036640.KS
케이알엠,0.57,-48.809,093640.KS
펨트론,0.56,-10.66,168360.KS
오디텍,0.559,42.71,080520.KS
동아화성,0.559,-5.774,041930.KS
영화테크,0.558,-29.599,265560.KS
엔피디,0.555,-28.81,198080.KS
한국팩키지,0.554,-67.511,037230.KS
지오엘리먼트,0.543,-55.809,311320.KS
제우스,0.541,-13.483,079370.KS
한국알콜,0.54,-44.642,017890.KS
중앙첨단소재,0.539,-32.163,051980.KS
더테크놀로지,0.534,-63.409,043090.KS
DH오토리드,0.533,-77.127,290120.KS
디알젬,0.533,-63.632,263690.KS
제테마,0.531,-31.949,216080.KS
인선이엔티,0.53,-53.3,060150.KS
이니텍,0.527,110.128,053350.KS
엠투아이,0.526,138.274,347890.KS
차바이오텍,0.525,0.987,085660.KS
한국캐피탈,0.525,30.493,023760.KS
나우IB,0.524,-43.888,293580.KS
서원인텍,0.524,-57.368,093920.KS
피에스케이홀딩스,0.521,-40.743,031980.KS
기가비스,0.515,-2.031,420770.KS
HB인베스트먼트,0.513,243.867,440290.KS
메디콕스,0.503,81.511,054180.KS
슈프리마에이치큐,0.499,56.638,094840.KS
노바렉스,0.493,-12.656,194700.KS
한국제15호스팩,0.491,504.589,479880.KS
삼화네트웍스,0.487,-16.776,046390.KS
매일홀딩스,0.478,-42.596,005990.KS
인터엠,0.476,91.035,017250.KS
인포뱅크,0.472,1272.517,039290.KS
브레인즈컴퍼니,0.471,110.415,099390.KS
하나33호스팩,0.469,-91.941,475250.KS
마이크로디지탈,0.457,-51.77,305090.KS
IBKS제21호스팩,0.455,-48.38,442770.KS
메디앙스,0.454,2971.422,014100.KS
IBKS제22호스팩,0.454,-85.094,448760.KS
디지틀조선,0.444,885.345,033130.KS
테라젠이텍스,0.441,-63.412,066700.KS
경창산업,0.438,-43.425,024910.KS
앱클론,0.43,-14.213,174900.KS
브이원텍,0.427,-1.573,251630.KS
제이엠아이,0.426,54.489,033050.KS
와이엠텍,0.423,-9.601,273640.KS
한독크린텍,0.418,16.695,256150.KS
위세아이텍,0.418,-39.43,065370.KS
와이바이오로직스,0.413,15.811,338840.KS
한국큐빅,0.412,-26.813,021650.KS
KB오토시스,0.403,-46.945,024120.KS
선익시스템,0.398,40.426,171090.KS
인스웨이브시스템즈,0.397,21.8,450520.KS
세종텔레콤,0.388,-19.049,036630.KS
SGA솔루션즈,0.388,-56.705,184230.KS
파인디앤씨,0.386,-11.012,049120.KS
와토스코리아,0.386,-53.799,079000.KS
삼륭물산,0.373,56.141,014970.KS
폴라리스세원,0.373,18.597,234100.KS
강동씨앤엘,0.373,43.561,198440.KS
제주맥주,0.372,7.657,276730.KS
성창오토텍,0.369,-84.752,080470.KS
남화토건,0.365,-79.772,091590.KS
네오위즈홀딩스,0.36,13.553,042420.KS
PN풍년,0.353,-3.171,024940.KS
유성티엔에스,0.35,-80.553,024800.KS
삼지전자,0.346,83.956,037460.KS
셀레믹스,0.345,-52.875,331920.KS
홈캐스트,0.344,-29.247,064240.KS
우수AMS,0.333,-9.431,066590.KS
에코플라스틱,0.327,24.024,038110.KS
케어랩스,0.317,-40.119,263700.KS
네이블,0.315,-39.754,153460.KS
이크레더블,0.314,7.556,092130.KS
웰크론한텍,0.311,-85.035,076080.KS
메이슨캐피탈,0.308,-18.247,021880.KS
모델솔루션,0.305,-10.856,417970.KS
크리스에프앤씨,0.303,134.872,110790.KS
에스앤디,0.303,-38.412,260970.KS
대한광통신,0.299,26.288,010170.KS
아이앤씨,0.294,48.394,052860.KS
오브젠,0.291,0.213,417860.KS
TS인베스트먼트,0.288,-5.529,246690.KS
선바이오,0.287,-31.059,067370.KS
네오티스,0.285,-30.293,085910.KS
TKG애강,0.285,23.639,022220.KS
파트론,0.284,-50.004,091700.KS
한탑,0.283,80.654,002680.KS
세동,0.281,-63.522,053060.KS
비큐AI,0.28,-23.075,148780.KS
디지털대성,0.276,-27.729,068930.KS
서연탑메탈,0.266,21.57,019770.KS
피에스텍,0.266,-27.633,002230.KS
시공테크,0.263,19.184,020710.KS
모아라이프플러스,0.257,-9.275,142760.KS
유안타제12호스팩,0.245,-56.3,446150.KS
하이제8호스팩,0.239,810.488,450050.KS
엔에이치스팩23호,0.239,708.606,422040.KS
앱코,0.237,-64.552,129890.KS
윈스,0.237,307.41,136540.KS
대신밸런스제17호스팩,0.236,-36.807,471050.KS
CMG제약,0.234,-1.525,058820.KS
교보15호스팩,0.234,-2.309,465320.KS
핀텔,0.233,-36.9,291810.KS
비피도,0.23,-21.167,238200.KS
한국제12호스팩,0.23,17.751,458610.KS
캐스텍코리아,0.229,-53.655,071850.KS
미래에셋비전스팩3호,0.229,-27.939,448830.KS
IBKS제24호스팩,0.228,5.235,469480.KS
IBKS제20호스팩,0.228,-35.759,439730.KS
대신밸런스제16호스팩,0.228,40.121,457630.KS
KCC건설,0.227,119.257,021320.KS
바이오톡스텍,0.226,-90.603,086040.KS
씨앤지하이테크,0.223,-4.852,264660.KS
프로이천,0.222,6.309,321260.KS
구영테크,0.22,-18.84,053270.KS
대신밸런스제15호스팩,0.213,14.621,457390.KS
삼보판지,0.213,20.987,023600.KS
코나아이,0.208,481.298,052400.KS
대한과학,0.202,30.207,131220.KS
삼성스팩8호,0.201,415.105,448740.KS
삼현,0.197,28.004,437730.KS
삼진엘앤디,0.195,-20.087,054090.KS
로지시스,0.194,-51.12,067730.KS
진양제약,0.194,35.933,007370.KS
이지홀딩스,0.188,61.397,035810.KS
어보브반도체,0.185,-0.204,102120.KS
씨티케이,0.185,-5.438,260930.KS
디지캡,0.183,-41.654,197140.KS
코아시아씨엠,0.182,8.856,196450.KS
오로라,0.181,1.293,039830.KS
넥스틴,0.18,-94.022,348210.KS
성우테크론,0.179,-50.405,045300.KS
휴온스,0.179,5.401,243070.KS
메디포스트,0.176,-50.749,078160.KS
아이텍,0.175,-15.504,119830.KS
덕산네오룩스,0.173,-60.766,213420.KS
캡스톤파트너스,0.171,357.204,452300.KS
서플러스글로벌,0.167,-18.492,140070.KS
멀티캠퍼스,0.163,-8.034,067280.KS
에이치피오,0.163,-57.223,357230.KS
태양,0.161,-66.377,053620.KS
좋은사람들,0.161,-46.604,033340.KS
월덱스,0.153,3.874,101160.KS
에스에스알,0.147,-21.66,275630.KS
레이언스,0.142,-48.158,228850.KS
지앤비에스 에코,0.14,115.574,382800.KS
위더스제약,0.14,31.507,330350.KS
블루콤,0.139,-8.566,033560.KS
아이엠,0.138,-47.209,101390.KS
픽셀플러스,0.136,-61.36,087600.KS
와이지엔터테인먼트,0.134,-19.624,122870.KS
아이디피,0.131,-49.365,332370.KS
케이아이엔엑스,0.128,-35.93,093320.KS
베노티앤알,0.127,-3.996,206400.KS
쎄노텍,0.125,-8.582,222420.KS
LB세미콘,0.123,-14.538,061970.KS
대한뉴팜,0.122,-50.877,054670.KS
CNT85,0.121,-11.474,056730.KS
비케이홀딩스,0.116,12.724,050090.KS
이지케어텍,0.114,-76.068,099750.KS
푸른저축은행,0.113,2.343,007330.KS
SCL사이언스,0.111,-48.507,246960.KS
엔젯,0.111,-44.736,419080.KS
네오오토,0.111,-65.007,212560.KS
KG모빌리언스,0.111,-47.572,046440.KS
에코볼트,0.11,-54.034,097780.KS
하이딥,0.109,-64.16,365590.KS
삼현철강,0.107,308.426,017480.KS
오픈놀,0.106,-72.728,440320.KS
지어소프트,0.105,-35.374,051160.KS
비씨월드제약,0.103,-25.122,200780.KS
미래에셋드림스팩1호,0.101,-51.674,442900.KS
뉴파워프라즈마,0.1,-29.801,144960.KS
시그네틱스,0.1,-46.952,033170.KS
고려신용정보,0.1,20.613,049720.KS
에프엔에스테크,0.1,-72.963,083500.KS
현대이지웰,0.1,-13.476,090850.KS
다원시스,0.095,-24.138,068240.KS
우리로,0.09,-40.499,046970.KS
서산,0.082,242.834,079650.KS
리가켐바이오,0.081,-56.722,141080.KS
티엘비,0.078,-51.356,356860.KS
제이시스메디칼,0.078,22.603,287410.KS
동일철강,0.077,-83.095,023790.KS
코아스템켐온,0.073,40.234,166480.KS
원바이오젠,0.072,-32.961,307280.KS
텔레칩스,0.072,-21.435,054450.KS
우주일렉트로,0.067,-60.029,065680.KS
동양에스텍,0.066,-27.872,060380.KS
진로발효,0.059,-65.369,018120.KS
JW신약,0.059,-51.28,067290.KS
나이스정보통신,0.053,20.804,036800.KS
비츠로셀,0.051,-56.694,082920.KS
엔에이치스팩30호,0.05,-44.38,466910.KS
제이엔케이글로벌,0.0,12.307,126880.KS
라파스,0.0,-65.482,214260.KS
율촌,0.0,62.304,146060.KS
한송네오텍,0.0,,226440.KS
켄코아에어로스페이스,0.0,-76.862,274090.KS
미디어젠,0.0,,279600.KS
비나텍,0.0,71.121,126340.KS
대유,0.0,,290380.KS
하이비젼시스템,0.0,-38.633,126700.KS
엔지스테크널러지,0.0,,208860.KS
신라에스지,0.0,-19.394,025870.KS
나노캠텍,0.0,15.682,091970.KS
스튜디오산타클로스,0.0,,204630.KS
비유테크놀러지,0.0,,230980.KS
파멥신,0.0,,208340.KS
인카금융서비스,0.0,-57.82,211050.KS
톱텍,0.0,-43.484,108230.KS
에스엘에너지,0.0,,214310.KS
시스웍,0.0,,269620.KS
이화전기,0.0,,024810.KS
엔에프씨,0.0,20.698,265740.KS
디딤이앤에프,0.0,,217620.KS
나래나노텍,0.0,62.432,137080.KS
프럼파스트,0.0,-20.358,035200.KS
에스디생명공학,0.0,,217480.KS
NPX,0.0,,222160.KS
하림,0.0,-12.924,136480.KS
셀리버리,0.0,,268600.KS
세토피아,0.0,,222810.KS
토박스코리아,0.0,386.311,215480.KS
골드앤에스,0.0,-30.083,035290.KS
코스텍시스,0.0,-51.612,355150.KS
케이엠제약,0.0,102.601,225430.KS
엠벤처투자,0.0,,019590.KS
휴센텍,0.0,,215090.KS
휴럼,0.0,255.928,353190.KS
오비고,0.0,-9.124,352910.KS
스톰테크,0.0,-32.612,352090.KS
알서포트,0.0,-7.349,131370.KS
디케이티,0.0,-42.256,290550.KS
뉴지랩파마,0.0,,214870.KS
모비릭스,0.0,-2.088,348030.KS
하이록코리아,0.0,82.939,013030.KS
신일제약,0.0,-8.997,012790.KS
슈피겐코리아,0.0,21.232,192440.KS
세종메디칼,0.0,,258830.KS
에스앤에스텍,0.0,-24.495,101490.KS
이큐셀,0.0,,160600.KS
광진실업,0.0,-49.373,026910.KS
이루다,0.0,,164060.KS
이스트에이드,0.0,-62.391,239340.KS
광림,0.0,,014200.KS
현대사료,0.0,,016790.KS
제이스코홀딩스,0.0,-46.16,023440.KS
링크드,0.0,4.581,193250.KS
이엔에프테크놀로지,0.0,-29.512,102710.KS
제이엠티,0.0,-72.281,094970.KS
EDGC,0.0,,245620.KS
에이엘티,0.0,-66.134,172670.KS
TS트릴리온,0.0,,317240.KS
유진기업,0.0,-48.298,023410.KS
나노,0.0,,187790.KS
비즈니스온,0.0,-37.177,138580.KS
큐캐피탈,0.0,198.77,016600.KS
그린플러스,0.0,-59.233,186230.KS
일월지엠엘,0.0,,178780.KS
노블엠앤비,0.0,,106520.KS
아진산업,0.0,-5.626,013310.KS
우림피티에스,0.0,-10.986,101170.KS
애닉,0.0,,299910.KS
엠에프엠코리아,0.0,,323230.KS
네오펙트,0.0,-41.432,290660.KS
엔케이맥스,0.0,,182400.KS
어스앤에어로스페이스,0.0,,263540.KS
대림제지,0.0,136.469,017650.KS
제노레이,0.0,14.216,122310.KS
비덴트,0.0,,121800.KS
디에이테크놀로지,0.0,,196490.KS
이트론,0.0,,096040.KS
알에프세미,0.0,,096610.KS
인터로조,0.0,,119610.KS
포메탈,0.0,-50.324,119500.KS
엘디티,0.0,89.218,096870.KS
인트로메딕,0.0,,150840.KS
마이크로컨텍솔,0.0,-61.773,098120.KS
이노룰스,0.0,31.766,296640.KS
퓨처코어,0.0,,151910.KS
알파홀딩스,0.0,,117670.KS
RF머트리얼즈,0.0,-3.366,327260.KS
DGI,0.0,,099520.KS
더라미,0.0,,032860.KS
다원넥스뷰,0.0,-49.015,323350.KS
BF랩스,0.0,,139050.KS
한국비티비,0.0,,219750.KS
