Title,Date,Press,Description
"[속보] 윤 대통령 ""北 러시아 파병은 도발…좌시하지 않을 것""",3주 전,강원도민일보언론사 선정,"윤석열 대통령은 24일 ""유엔(UN) 헌장과 UN 안전보장이사회 결의를 정면으로 위반하는 북한의 러시아 파병은 한반도와 유럽을 넘어 전 세계의 안보를 위협하는 도발""이라고 규탄했다. 윤 대통령은 이날 오후 용산 대통령실에서 안제이 두다 폴란드 대통령과 정상회담에 이어 가진 공동 언론발표에서 ""우리 두 정상은..."
"[속보] ‘HBM 매출 330% 증가’ SK하이닉스, 3분기 영업익 7조300억원 ‘...",3주 전,경향신문언론사 선정,"SK하이닉스가 인공지능(AI)과 고대역폭메모리(HBM) 수요에 힘입어 사상 최대 실적을 기록했다. SK하이닉스는 올해 3분기 매출 17조5731억원, 영업이익 7조300억원을 기록했다고 24일 밝혔다. 이는 분기 기준 사상 최대 실적이다. 매출은 기존 기록인 올해 2분기 16조4233억원을 1조원 이상 넘어섰고..."
"[속보] 검찰, '공직선거법 위반' 김혜경 3백만 원 구형",3주 전,YTN언론사 선정,지난 대선 경선 당시 경기도 법인카드로 전·현직 국회의원 배우자 등에게 식사를 제공한 혐의를 받는 더불어민주당 이재명 대표의 배우자 김혜경 씨에게 검찰이 벌금 300만 원을 구형했습니다. 검찰은 오늘(24일) 수원지방법원에서 열린 김 씨의 공직선거법 위반 혐의 1심 결심공판에서 벌금 3백만 원을...
[속보] 이병노 담양군수 항소심도 당선무효형,3주 전,중앙일보,선거운동원들의 변호사비를 대납한 혐의로 기소된 이병노 전남 담양군수가 항소심에서도 당선무효형을 선고받았다. 광주고법 형사1부(박정훈 고법판사)는 24일 공직선거법 위반 혐의로 기소된 이 군수 등에 대한 항소심 선고공판에서 피고인들의 항소를 기각하고 이 군수에게 당선무효형에 해당하는 벌금...
"[속보] 法 ""공정위, 로톡 징계 변협 과징금 취소해야""",3주 전,이데일리언론사 선정,
[속보]‘김 여사 비난 전단’ 담은 오물풍선 北 살포…대통령실 청사에...,3주 전,문화일보언론사 선정,"북한이 24일 새벽 대량 살포한 오물풍선에 담긴 쓰레기가 서울 용산 대통령실 청사에 떨어진 것으로 확인됐다. 대통령실 청사 경내에서 북한의 유인물이 발견된 건 지난 7월 10차 풍선 살포 이후 두 번째로, 이번에는 윤석열 대통령 부인 김건희 여사를 비난하는 내용의 전단도 풍선에 담아 내려보낸 것으로..."
[속보] 3분기 실질GDP 성장률 0.1%에 그쳐···수출은 0.4% 감소,3주 전,경향신문언론사 선정,"한은은 3분기 실질 국내총생산(GDP) 성장률(속보치·전분기 대비)이 0.1%로 집계됐다고 24일 발표했다. 2분기 역성장(-0.2%)에선 벗어났지만 한은이 지난 8월 전망한 수치(0.5%)를 크게 벗어난 수준이다. 항목별로 보면, 3분기 민간소비는 승용차·통신기기 및 의료·운수 등에서 소비가 늘어 전 분기보다 0.5..."
[속보] 검찰 '공직선거법위반' 김혜경 벌금 300만원 구형,3주 전,뉴스1언론사 선정,
"[속보]한동훈 “당 대표, 원내든 원외든 당 전체업무 총괄…특별감찰관...",3주 전,문화일보언론사 선정,한동훈 국민의힘 대표는 24일 “당 대표는 법적 대외적으로 당을 대표하고 당무를 통할한다”며 “당연한 말이지만 원내든 원외든 당 전체업무를 총괄하는 임무를 당대표가 하는 것”이라고 밝혔다. 한 대표는 이날 오전 국회에서 열린 최고위원회에서 “당대표 업무 관련해서 오해가 없도록 한 말씀 드린다”며...
[속보] 현대차 3분기 매출 43조 육박 ‘역대 최대’…영업익은 6.5% 감소,3주 전,헤럴드경제언론사 선정,"현대자동차는 올해 3분기 매출 42조9283억원(자동차 34조195억원, 금융 및 기타 8조9089억원)으로 작년 동기 대비 4.7% 증가했다고 24일 공시했다. 역대 3분기 기준으로 최대 실적이다. 현대차의 3분기 영업이익은 3조5809억원으로, 전년 3분기보다 6.5% 줄어든 것으로 잠정 집계됐다. 같은 기간 당기순이익은..."
[속보] 윤 대통령 국정지지율 22%…취임 후 최저치 기록,3주 전,강원도민일보언론사 선정,윤석열 대통령의 국정운영 긍정평가가 전국지표조사(NBS) 기준으로 취임 후 최저치인 22%를 기록했다는 여론조사 결과가 나왔다. 여론조사 기관 엠브레인퍼블릭·케이스탯리서치·코리아리서치·한국리서치가 21~23일 전국 유권자 1000명을 휴대전화 면접 조사해 24일 발표한 결과(95% 신뢰수준 ±3.1%포인트)...
[속보] 이병노 담양군수 항소심도 당선무효형,3주 전,MBN언론사 선정,이병노 담양군수 항소심도 당선무효형
"[속보]용산 대통령실에 北 쓰레기풍선 낙하, 당국 신속 처리",3주 전,파이낸셜뉴스언론사 선정,"북한이 보낸 쓰레기 풍선 낙하물이 24일 용산 대통령실 청사 경내로 떨어졌다. 대통령실에 따르면 이날 오전 북한 쓰레기 풍선이 청사를 비롯해 경내로 다수 낙하했고, 당국이 신속하게 처리했다. 북한은 지난 19일 이후 닷새 만에 쓰레기 풍선을 재살포, 합동참모본부는 이날 오전 2시 30분쯤 ""북한이 대남..."
[속보]3분기 GDP 전기比 0.1%↑…간신히 증가 전환,3주 전,이데일리,"4%, 2분기엔 2.3%였다. 3분기 GDP속보치는 시장 컨센서스를 밑도는 부진한 성적표다. 앞서 이데일리가 국내 증권사 및 경제연구소 연구원 11명을 대상으로 설문조사한 결과 올 3분기 전기비 성장률은 0.5%(중간값)로 집계됐다. 전년동기비 성장률은 2.0%로 전망됐다."
"[속보] 尹 ""北 러시아 파병, 좌시 않을 것…단계별로 조치하겠다""",3주 전,아이뉴스24언론사 선정,"윤석열 대통령은 24일 ""유엔 헌장과 유엔 안전보장이사회 결의를 정면으로 위반하는 북한의 러시아 파병은 한반도와 유럽을 넘어 전 세계의 안보를 위협하는 도발""이라고 말했다. 윤 대통령은 이날 용산 대통령실에서 안제이 두다 폴란드 대통령과 정상회담에 이어 가진 공동 언론발표에서 ""우리 두 정상은 북한의..."
[속보] 부산 미군기지에서 화재 발생...대응 1단계 발령,3주 전,데일리안언론사 선정,부산 미군기지에서 화재 발생...대응 1단계 발령
"[속보] 3분기 경제성장률 0.1%…""민간소비·건설투자 부진""",3주 전,연합뉴스TV언론사 선정,"한국은행은 올해 3분기 실질 국내총생산, GDP가 2분기보다 0.1% 성장한 것으로 집계했습니다. 2분기 -0.2%에 이은 0%대 성장률입니다. 최근 성장률 부진은 1분기 1.3% '깜짝 성장'으로 비교 기준이 높아진 데다, 소비 침체와 건설 투자 부진이 이어진 데 따른 것으로 분석됩니다. 3분기 실질 국내총소득..."
[속보] 3분기 경제성장률 0.1% 성장…소폭 상승 전환,3주 전,매일경제언론사 선정,"한국은행은 지난 3분기 실질 국내총생산(GDP) 성장률(직전분기대비·속보치)이 0.1% 성장했다고 24일 밝혔다. 지난해 3분기와 비교하면 1.5% 증가했다. 3분기 성장률의 부문별 기여도를 보면, 소비와 투자 등 내수가 전기대비 -0.1%p에서 0.9%p으로 전환했다. 민간소비와 설비투자를 중심으로 반등한 것이다. 반면..."
"[속보] 우크라 군소식통 ""북한군 2천명 러 서부로 이동중""<교도>",3주 전,연합뉴스언론사 선정,
"[속보] 오재원, ‘또 마약’ 혐의로 징역4개월 집유2년 추가",3주 전,이데일리언론사 선정,프로야구선수 오재원(39)이 추가로 기소된 마약 수수 혐의에 대해서도 징역 4개월에 집행유예 2년을 선고 받았다. 서울중앙지법 형사24단독 유동균 판사는 이날 마약류 관리에 관한 법률 위반(향정) 혐의로 재판에 넘겨진 오씨와 지인 등 4명의 선고기일을 진행했다.
"[속보] 러 하원, 북러 '포괄적 전략적 동반자 관계 조약' 비준",3주 전,연합뉴스언론사 선정,
[속보] 헌법재판소장 권한대행에 문형배 재판관,3주 전,뉴스1언론사 선정,
"[속보] 尹, 우크라 무기 지원에 ""북한군 활동에 따라 유연하게 검토""",3주 전,연합뉴스언론사 선정,
[속보]SK이노 계열사 수장 3명 교체…SK지오센트릭 대표에 최안섭 사장,3주 전,뉴스1,
"[속보] 윤 대통령 ""한-폴란드, 우크라이나 지원 확대해 나갈 것""",3주 전,뉴스1,
"[속보] ""북한군 2000명 러시아 서부로 이동 중""",3주 전,한국경제언론사 선정,북한군 약 2000명이 훈련을 마치고 우크라이나 국경과 가까운 러시아 서부로 이동 중이라고 일본 교도통신이 우크라이나 군 소식통을 인용해 24일(현지시간) 보도했다. 앞서 미국 정부는 북한에서 이달 초 최소 3000명의 병사가 훈련을 위해 러시아 동부 군기지로 보내졌다고 전날 밝혔다고 이 매체는 덧붙였다.
"[속보] 윤 대통령 “우크라 살상무기 지원, 北 활동 따라 검토”",3주 전,매일경제,"윤석열 대통령은 24일 우크라이나에 대한 무기 지원과 관련해 “살상 무기를 직접 공급하지 않는다는 대원칙을 갖고 있었는데, 북한군의 활동 여하에 따라 그런 부분에서도 더 유연하게 검토해 나갈 수 있다”고 밝혔다. 윤 대통령은 이날 용산 대통령실에서 안제이 두다 폴란드 대통령과 정상회담에 이어 가진..."
"[속보]KB국민은행, 3분기 순이익 1조1120억원…전년比 11.5%↑",3주 전,뉴시스언론사 선정,KB국민은행은 올해 3분기 당기순이익이 1조1120억원으로 전년 동기 대비 11.5% 증가했다고 24일 밝혔다．
"[속보] 윤 대통령 ""北 러시아 파병은 도발…러북 불법 군사협력 좌시 안...",3주 전,데일리안언론사 선정,"윤 대통령 ""北 러시아 파병은 도발…러북 불법 군사협력 좌시 안 해"""
"[속보] 검찰, '선거법 위반' 김혜경에 벌금 300만원 재구형",3주 전,뉴시스언론사 선정,후속기사가 이어집니다
"[속보] 3분기 경제 성장률 0.1%... ""수출 증가세 예상보다 둔화""",3주 전,한국일보언론사 선정,"한국은행은 24일 3분기 실질 국내총생산(GDP)이 2분기 대비 0.1% 성장했다고 속보치를 발표했다. 한 분기 만에 플러스(+) 성장으로 전환했지만, 시장 예상(전분기 대비 0.5% 성장)보다 크게 낮은 수치다. 지출항목별로 보면 건설투자를 제외한 내수 성장률은 전분기 대비 개선됐다. 민간소비는 2분기..."
"[속보]검찰, '선거법 위반' 김혜경에 벌금 300만원 재구형",3주 전,CJB청주방송언론사 선정,지난 대선 후보 경선 당시 경기도 법인카드로 당 관련 인사들에게 식사를 대접한 혐의로 기소된 이재명 민주댱 대표의 배우자 김혜경씨에 대해 검찰이 벌금 300만원 구형을 유지했습니다. 검찰은 24일 오전 수원지법 형사13부(부장판사 박정호) 심리로 열린 김씨의 공직선거법위반 혐의 재결심공판에서 이같이...
"[속보]尹 ""폴란드와 방산 협력…연내 K2 전차 2차 이행계약""",3주 전,한경비즈니스,"윤석열 대통령이 24일 한-폴란드 방산 협력과 관련해 ""양국이 연내 타결을 목표로 협의 중인 'K2 전차 2차 이행계약'을 포함해 한-폴란드 방산 협력이 성공적으로 진행될 수 있도록 양국 정부가 적극 지원해 나가기로 했다""고 말했다. 윤 대통령은 이날 서울 용산 청사에서 국빈 방한 중인 안제이 두다 폴란드..."
"[속보] “북한의 러시아 파병, 전 세계 안보 위협하는 도발”",3주 전,KBS,"“북한의 러시아 파병, 전 세계 안보 위협하는 도발”"
[속보] 3분기 GDP 0.1% 증가…예상치 하회,3주 전,서울경제,한국은행은 24일 올해 3분기 실질 국내총생산(GDP) 성장률(직전분기대비·속보치)이 0.1%로 집계됐다고 밝혔다. 전년 동기 대비로는 1.5% 성장했다. 3분기 실질 국내총소득(GDI) 증가율은 1.5%를 나타냈다. GDP 성장률은 1분기 1.3%를 기록한 후 2분기 -0.2%로 고꾸라지다 3분기 반등했다. 다만 한은이 8월...
[속보]尹 “폴란드와 방산 협력…연내 K2 전차 2차 이행계약”,3주 전,이데일리언론사 선정,[속보]尹 “폴란드와 방산 협력…연내 K2 전차 2차 이행계약”
[속보] 부산 주한미군 55보급창 화재…소방 대응 1단계,3주 전,부산일보언론사 선정,24일 오후 6시 30분께 부산 동구 범일동 55보급창에서 원인을 알 수 없는 불이 났다. 부산소방본부는 대응 1단계를 발령하고 35대의 장비를 투입해 화재를 진압 중이라고 밝혔다. 인명 피해는 현재까지 없는 것으로 알려졌다. 55보급창은 부산항으로 반입되는 미군 장비 등을 보관하는 미군 부대 시설이다....
"[속보] 尹대통령 ""北 러시아 파병은 도발…좌시하지 않을 것""",3주 전,한국경제언론사 선정,"尹대통령 ""北 러시아 파병은 도발…좌시하지 않을 것"""
[속보]끝없이 오르는 美국채금리…나스닥 1.6%↓,3주 전,이데일리언론사 선정,뉴욕증시가 일제히 하락했다. 미국의 경제가 탄탄하다는 신호가 잇따라 나오면서 국채금리가 지속적으로 오르고 투심을 짓누르고 있다. 23일(현지시간) 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30산업평균지수는 전거래일 대비 0.96% 떨어진 4만2514.95에 장을 마감했다. 대형주 벤치마크인 S...
[속보]SK하이닉스 3분기 영업익 7조300억,3주 전,노컷뉴스언론사 선정,"SK하이닉스는 연결 기준 올해 3분기 영업이익이 7조300억원으로 지난해 동기(영업손실 1조7920억원)와 비교해 흑자전환한 것으로 잠정 집계됐다고 24일 밝혔다. 매출은 17조5731억원으로 작년 동기 대비 93.8% 증가했고, 순이익은 5조7534억원으로 흑자로 돌아섰다. ※CBS노컷뉴스는 여러분의 제보로..."
"[속보] 여성에게 2주치 수면제 몰래 먹여 살해한 70대 男, 징역 25년",3주 전,아이뉴스24,성폭행을 하기 위해 약 2주치의 수면제를 여성에게 몰래 먹여 사망하게 한 70대 남성이 징역 25년을 선고받았다. 24일 법조계에 따르면 서울남부지법 형사합의11부(부장판사 정도성)는 강간살인 등 혐의로 기소된 70대 남성 A씨에게 징역 25년을 선고했다. 이와 함께 성폭력 치료프로그램 80시간 이수...
[속보] 북한 쓰레기 풍선 낙하물 대통령실 청사에 떨어져,3주 전,뉴스1언론사 선정,
[속보]현대차 3분기 영업이익 3조5809억원…작년 대비 6.5%↓,3주 전,매일경제언론사 선정,현대자동차는 연결 기준 올해 3분기 영업이익이 3조5809억원으로 지난해 동기보다 6.5% 감소한 것으로 잠정 집계됐다고 24일 공시했다. 매출은 42조9283억원으로 작년 동기 대비 4.7% 늘었다. 순이익은 3조2059억원으로 3% 줄었다.
"[속보] SK하이닉스, 3분기 영업익 7조299억...흑자전환",3주 전,YTN언론사 선정,"- SK하이닉스, 3분기 영업익 7조…흑자 전환 - 하이닉스 3분기 매출 17.5조 …1년 만에 93.8%↑ ◇ 자세한 뉴스가 곧 이어집니다."
"[속보] LG전자, 3분기 영업익 7519억…전년비 20.9%↓",3주 전,더팩트언론사 선정,매출 10.7% 증가한 22조1764억원 LG전자는 올해 3분기 7519억원의 영업이익을 기록했다고 24일 밝혔다. 이는 전년 동기 대비 20.9% 줄어든 수치다. 같은 기간 매출은 10.7% 증가한 22조1764억원으로 집계됐다.
"[속보] 한동훈 ""당대표는 원내·원외 총괄…특별감찰관 추천 진행할 것...",3주 전,디지털타임스,"한동훈 국민의힘 대표는 24일 ""특별감찰관의 실질적인 추천과 임명 절차를 진행하겠다""고 거듭 밝혔다. 그러면서 ""당 대표가 원내든 원외든 업무를 총괄한다""고 강조했다. 한 대표는 이날 국회에서 열린 최고위원회의에서 ""이건 우리가 지난 대선 공약으로 약속했던 것이고, 우리는 문재인 정권보다 훨씬 나은 정치..."
"[속보] 법사위, 야 주도 감사원장·사무총장 고발 의결…""자료제출 요구...",3주 전,뉴스1,
"[속보] 美백악관 ""북한군, 러서 훈련 마치고 우크라군과 싸울 가능성""",3주 전,연합뉴스언론사 선정,
"[속보] 한동훈 ""당 대표, 원내든 원외든 당 전체 총괄업무 수행""",3주 전,YTN언론사 선정,"한동훈 ""당 대표, 원내든 원외든 당 총괄업무 수행"" '특별감찰관, 원내 사안' 추경호 겨냥 메시지 한동훈 ""특별감찰관 추천 진행…변화·쇄신"" ▷ 자세한 뉴스가 곧 이어집니다."
"[속보] 한동훈 ""대표, 당 업무 총괄 수행…특별감찰관 추천하자""",3주 전,뉴스1언론사 선정,
[속보] SK하이닉스 3분기 영업이익 7조300억원…흑자 전환,3주 전,한국경제언론사 선정,
"[속보]현대차, 3분기 영업익 3조5809억원…전년비 6.5% 감소",3주 전,뉴시스언론사 선정,.◎공감언론 뉴시스
"[속보]尹 ""K2전차 2차 이행계약 등 한-폴란드 방산협력 적극 지원""",3주 전,파이낸셜뉴스,"윤석열 대통령은 24일 한-폴란드 방산 협력과 관련, ""양국이 연내 타결을 목표로 협의 중인 'K2 전차 2차 이행계약'을 포함해 한-폴란드 방산 협력이 성공적으로 진행될 수 있도록 양국 정부가 적극 지원해 나가기로 했다""고 밝혔다. 윤 대통령은 이날 서울 용산 청사에서 국빈 방한 중인 안제이 두다..."
[속보] 3분기 실질 GDP 전분기 대비 0.1% ↑,3주 전,머니투데이,한국은행 '2024년 3분기 실질 국내총생산(속보)'
"[속보] IMF ""올해 韓 1인당 소득, 日·대만 여유있게 앞설 것…4만달러 ...",3주 전,디지털타임스,우리나라 1인당 국내총생산(GDP)이 지난해에 이어 올해도 일본과 대만에 여유 있게 앞설 것이라는 국제통화기금(IMF) 전망이 나왔다. 24일 한국은행 등에 따르면 IMF는 지난 22일 발표한 '세계경제전망'(World Economic Outlook) 보고서에서 올해 한국의 1인당 GDP를 3만6132달러로 추정했다. 이는 지난해...
[속보] 대통령실 “북한 쓰레기풍선 용산청사 공중서 터져…오염성 없어...,3주 전,중앙일보,"북한에서 날려 보낸 쓰레기 풍선 낙하물이 24일 용산 대통령실 청사 위로도 떨어졌다. 이와 관련 대통령경호처는 “새벽 북한의 쓰레기 풍선이 공중에서 터져 용산 청사 일대에 산개된 낙하 쓰레기를 식별했다”며 “안전 점검 결과 물체의 위험성과 오염성이 없는 것으로 확인돼 수거했으며, 합참과의 공조..."
[속보] 현대자동차 3분기 영업이익 3.5조원…작년 대비 6.5%↓,3주 전,서울경제언론사 선정,현대자동차가 연결 기준 올해 3분기 영업이익이 3조 5809억 원으로 지난해 동기보다 6.5% 감소한 것으로 잠정 집계됐다고 24일 공시했다. 매출은 42조 9283억 원으로 작년 동기 대비 4.7% 증가했다. 순이익은 3조 2059억원으로 3% 줄었다.
"[속보] 3분기 한국 경제 성장률 0.1%…""수출 증가세 둔화""",3주 전,한경비즈니스언론사 선정,"3분기 한국 경제 성장률 0.1%…""수출 증가세 둔화"""
2024년 3/4분기 실질 국내총생산(속보) 설명회,3주 전,뉴시스,신승철(왼쪽 두번째) 한국은행 경제통계국장이 24일 오전 서울 중구 한국은행에서 2024년 3/4분기 실질 국내총생산(속보)의 주요 특징을 설명하고 있다. (사진=한국은행 제공) 2024.10.24. photo@newsis.com *재판매 및 DB 금지
"[속보]윤 ""한-폴란드 첨단기술 전략 파트너십 구축할 것""",3주 전,뉴시스언론사 선정,후속기사가 이어집니다
"[속보]한동훈 ""대통령실 직속 반도체경쟁력 강화위 설치 제안""",3주 전,이데일리언론사 선정,한동훈 국민의힘 대표는 24일 “대통령실 직속 반도체경쟁력 강화위원회 설치를 제안한다”며 “현재 대한민국 먹거리이자 미래산업 발전의 주춧돌이 될 반도체 산업 경쟁력을 강화하기 위한 것”이라고 했다. 한동훈 국민의힘 대표가 23일 오전 서울 여의도 국회에서 열린 확대당직자회의에서 모두발언을...
"[속보] 북한 쓰레기 풍선 낙하물, 대통령실 청사에 낙하",3주 전,세계일보언론사 선정,"사진은 북한이 살포한 쓰레게 풍선. 연합뉴스 북한 쓰레기 풍선 낙하물, 대통령실 청사에 낙하"
"[속보]KB금융, 3분기 순이익 1조6140원…전년比 17.9%↑",3주 전,뉴시스,KB금융그룹은 올해 3분기 당기순이익이 1조6140억원으로 전년 동기 대비 17.9% 증가했다고 24일 밝혔다.
"[속보] 합참 ""北, 대남 쓰레기 풍선 부양"" 올해 30번째",3주 전,파이낸셜뉴스언론사 선정,
"[속보][뉴욕증시] 나스닥도 하락 합류...엔비디아, 2.8% 급락",3주 전,파이낸셜뉴스언론사 선정,
"[속보] 보잉 노조, 계약 거부 파업 연장",3주 전,국제뉴스,보잉 로고. 사진제공/AFP통신 시애틀 지역의 보잉 노동자들이 회사의 최신 계약 제안을 단호히 거부하고 약 6주간 이어진 파업을 연장했다고 AFP통신이 23일(현지시간) 보도했다. 노조 측은 엑스(X·옛 트위터)에 국제기계 및 항공우주노동자협회 751지구 노조 회원의 3분의 2에 가까운 64%가 계약을...
"[속보] 미 백악관 ""북한군 3천 명 러 동부로 이동...전쟁 투입 우려""",3주 전,YTN,미국 백악관은 북한군 러시아 파병 사실을 공식 확인하며 우크라이나 전쟁에 투입될 가능성을 우려했습니다. 존 커비 백악관 국가안보회의 소통보좌관은 브리핑에서 북한이 이달 초중반 적어도 병력 3천 명을 러시아 동부로 보냈다고 밝혔습니다. 북한군은 원산 지역에서 러시아 블라디보스토크까지 배를 타고...
[속보] SK하이닉스 3분기 매출 17조5731억 원…분기 사상 최대,3주 전,이투데이,이투데이=박민웅 기자 | SK하이닉스 3분기 매출 17조5731억 원…분기 사상 최대
"[속보]복지차관 ""의료개혁, 의료영리화 추진 전혀 사실 아냐""",3주 전,뉴시스언론사 선정,후속기사가 이어집니다
[속보]테슬라 3분기 실적 예상치 상회…시간외서 9% 넘게 폭등,3주 전,아시아경제언론사 선정,
[속보] 테슬라 시간외거래서 12%까지 폭등,3주 전,뉴스1,
[속보] “우크라이나 평화 회복·재건 위한 공동 노력 강화”,3주 전,KBS,“우크라이나 평화 회복·재건 위한 공동 노력 강화”
"[속보] 윤 대통령 ""북·러 군사협력 진전 따라 단계별로 조치""",3주 전,뉴스1,
[속보] “원자력 등 무탄소 에너지 확대 방안 함께 모색”,3주 전,KBS,“원자력 등 무탄소 에너지 확대 방안 함께 모색”
